**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th10 18 20:25:37 <patchbot>	patch 387123 - swift (stable/newton) - Prevent ssync writing bad fragment data to diskfile
Th10 18 20:25:38 <patchbot>	patch 387172 - swift (stable/mitaka) - Prevent ssync writing bad fragment data to diskfile
Th10 18 20:26:21 <tonyb>	kota_, mattoliverau: I'll take a look at them from a stable team POV
Th10 18 20:26:32 <kota_>	the original patch for the master has landed and i just am wondering who one could make it to land to stable branch
Th10 18 20:26:46 <mattoliverau>	tonyb: thanks man
Th10 18 20:26:59 <kota_>	tonyb: notmyname may be able to work on it tommorrow-ish though.
Th10 18 20:27:15 <mattoliverau>	tonyb: if you need kota and I to +1 em or anything then let us know
Th10 18 20:27:16 <kota_>	tonyb: but thanks ;-)
Th10 18 20:27:37 <tonyb>	kota_, mattoliverau: +1 would be good
Th10 18 20:28:42 <mattoliverau>	k, I'll fire up my stable saio's so I can run the tests etc.. cause I wanna be sure
Th10 18 20:29:12 <kota_>	mattoliverau: thanks too :D
Th10 18 20:39:14 *	mattoliverau hasn't built a saio to track stable newton yet... so am building one... glad I have a script to do that thing.
Th10 18 20:42:58 <tonyb>	mattoliverau: scripting for the win!
Th10 18 20:43:16 <mattoliverau>	\o/ 
Th10 18 20:47:04 <openstackgerrit>	Pete Zaitcev proposed openstack/swift: Add InfoGet handler with test  https://review.openstack.org/387790
Th10 18 21:02:18 <openstackgerrit>	Hanxi Liu proposed openstack/swift: Add links for more detailed overview in overview_architecture  https://review.openstack.org/381446
Th10 18 21:25:49 <clayg>	is there no way to shutup liberasure code 1.1 printing to stdout with pyeclib 1.3.1?
Th10 18 21:25:58 <clayg>	... other than upgrade liberasurecode?
Th10 18 21:26:38 <clayg>	... where upgrade ~= build and install from source since no distos package the liberasurecode that goes with pyeclib 1.3.1?
Th10 18 21:26:41 <mattoliverau>	clayg: good question and if you find the answer let me know ;P
Th10 18 21:28:30 <clayg>	as much as I'm sure that if i would just go update my vsaio stuff to clone/build/install liberasure from source I'd be happier ...
Th10 18 21:28:46 <clayg>	... i keep feeling like it's a distraction from what i'm trying to do *right now*
Th10 18 21:28:55 <clayg>	meanwhile - gd, shut up liberasurecode!
Th10 18 21:29:24 <clayg>	i *would* just install an olderish pyeclib but we went and bumped requirements?  so it ends up being a real mess :\
Th10 18 21:31:01 *	sure is now known as Guest29440
Th10 18 21:33:06 <mattoliverau>	clayg: I have the xenial vsaio branch on my OSX dev laptop, and swift is logging directly into /var/log/syslog.. is this the normal setup (ie not logging to /var/log/swift/*), a problem with my chef build, or a vsaio xenial bug?
Th10 18 21:33:09 <Guest29440>	hi all, I deployed openstack swift, Right now i am getting all swift related logs in "/var/log/syslog" i want these logs in "/var/log/swift/swift.log" file
Th10 18 21:33:23 <Guest29440>	is there any way to do please help?
Th10 18 21:33:52 <mattoliverau>	Guest29440: yeah, you need to make sure you set up the rules correctly in rsyslog
Th10 18 21:34:45 <zaitcev>	RDO installs those automatically
Th10 18 21:34:55 <Guest29440>	mattoliverau: can you elaborate the process 
Th10 18 21:35:29 <mattoliverau>	Guest29440: you can either do it via log facility (set in the swift config files) and then catch them and redirect.. including send them to a remote syslog server if thats what you do. 
Th10 18 21:36:11 <zaitcev>	either ... or what?
Th10 18 21:36:39 <mattoliverau>	you can see some examples of how its done in the documentation, or even in the swift all in one doco.. I'll try and find some (on phone atm). 
Th10 18 21:36:44 <mattoliverau>	zaitcev: good point :P
Th10 18 21:36:48 <clayg>	zaitcev: syslog-ng lets you pick out log lines based on pattern matching and shiz
Th10 18 21:37:03 <mattoliverau>	yeah, so depends on what syslog your using
Th10 18 21:37:14 <Guest29440>	mattoliverau: yeah, i will try to find
Th10 18 21:37:53 <clayg>	Guest29440: this section is a quick read -> http://docs.openstack.org/developer/swift/development_saio.html#optional-setting-up-rsyslog-for-individual-logging
Th10 18 21:38:02 <clayg>	might give you a general sense of the idea
Th10 18 21:38:46 <Guest29440>	clayg: thanks and if got struck anywhere i will ask your help
Th10 18 21:38:53 <zaitcev>	Guest29440: basically https://bugzilla.redhat.com/show_bug.cgi?id=997983
Th10 18 21:38:54 <openstack>	bugzilla.redhat.com bug 997983 in openstack-swift "swift in RDO logs container, object and account to LOCAL2 log facility which floods /var/log/messages" [Low,Closed: currentrelease] - Assigned to zaitcev
Th10 18 21:40:04 <zaitcev>	or, better yet, stand by for flood
Th10 18 21:40:23 <zaitcev>	[root@rhev-a24c-01 ~]# cat /etc/rsyslog.d/openstack-swift.conf 
Th10 18 21:40:23 <zaitcev>	# LOCAL0 is the upstream default and LOCAL2 is what Swift gets in
Th10 18 21:40:23 <zaitcev>	# RHOS and RDO if installed with Packstack (also, in docs).
Th10 18 21:40:23 <zaitcev>	# The breakout action prevents logging into /var/log/messages, bz#997983.
Th10 18 21:40:23 <zaitcev>	local0.*;local2.*        /var/log/swift/swift.log
Th10 18 21:40:24 <zaitcev>	&                        ~
Th10 18 21:40:25 <zaitcev>	[root@rhev-a24c-01 ~]# 
Th10 18 21:41:29 <Guest29440>	zaitcev: that is in the case of redhat here i am using ubuntu14.04
Th10 18 21:52:14 <mattoliverau>	Guest29440: in each swift service you can set specific syslog settings e.g: https://github.com/openstack/swift/blob/master/etc/proxy-server.conf-sample#L42-L46
Th10 18 21:53:19 <mattoliverau>	once you know the log facility (or set it to what you want) (And you can use a few different facilitys if you want to seperate your swift logs even more). You can specify rules 
Th10 18 21:54:34 <mattoliverau>	Guest29440: for example on the rsyslog side, this is what we do for the Swift All In One (SAIO) dev environment: https://github.com/openstack/swift/blob/master/doc/saio/rsyslog.d/10-swift.conf
Th10 18 21:56:51 <mattoliverau>	Guest29440:  you can see again in the SAIO's proxy server configuration we are sending all logs to syslog facilty 1: https://github.com/openstack/swift/blob/master/doc/saio/swift/proxy-server.conf#L6
Th10 18 21:57:30 <Guest29440>	i have given parameters like this in proxyserver.conf http://paste.openstack.org/show/586103/
Th10 18 21:57:50 *	zaitcev facepalms
Th10 18 21:58:08 <Guest29440>	mattoliverau: is it corrrcet or not
Th10 18 21:59:14 <mattoliverau>	Guest29440: the log address needs to stay /dev/log as thats the syslog device we write logs to
Th10 18 21:59:31 <mattoliverau>	and now you have no log facility set
Th10 18 22:01:02 <mattoliverau>	you dont tell swift where to log (ie /var/log/swift/), you just tell swift where syslog is and what facility to tag the logs as.
Th10 18 22:01:42 <mattoliverau>	then in syslog you say things coming from this facility write them to /var/log/swift/<something>.log
Th10 18 22:03:32 <mattoliverau>	you could use a few different facilities (LOG_LOCAL0, LOG_LOCAL1) and then seperate say to proxy from storage, or use more and seperate the eventual consistancy engine from the storage node requests and proxy, etc.. really the skies the limit
Th10 18 22:04:20 <Guest29440>	mattoliverau: is this is correct configuration and tell me how can write in to /va/log/swift/<something>.log file
Th10 18 22:04:31 <Guest29440>	http://paste.openstack.org/show/586105/
Th10 18 22:07:18 <mattoliverau>	Sure, so now your saying send to /dev/log and tag with the LOG_LOCAL0 facility. now you need to tell rsyslog (if that's what your using) to filter on LOG_LOCAL0. 
Th10 18 22:08:42 <mattoliverau>	Syslog has different levels, for things like warnings, errors, debug, info level messages etc. You can just send them all to a log. or seperate them some more (like the saio is doing). 
Th10 18 22:14:29 <mattoliverau>	Guest29440: so a very basic (just dump everything on log facility 0 to say /var/log/swift/swift.log would be do do somethink like: create the file /etc/rsyslog.d/10-swift.conf and then in that file place something like http://paste.openstack.org/show/586107/
Th10 18 22:15:25 <mattoliverau>	then make sure /var/log/swift dir exists and the permissions are correct for syslog (look at /var/log/).. then restart syslog
Th10 18 22:16:11 <clayg>	whoa!  go mattoliverau!
Th10 18 22:17:07 <Guest29440>	mattoliverau: thanks i got logs in /var/log/swift/swift.olg
Th10 18 22:17:29 <mattoliverau>	the saio rsyslog file a linked before shows examples of how you can split it up some more.. and if you want to push logs to a remote syslog server you can do that too. This is where reading the rsyslog documentation can tell you more.. really the skies the limit
Th10 18 22:17:37 <mattoliverau>	Guest29440: \o/
Th10 18 22:17:55 <Guest29440>	ohhh!!! now i will seperate the logs 
Th10 18 22:18:12 <mattoliverau>	Guest29440: now you can play with serperating them if you find that log is way too verbose and noisy (which it would be) :)
Th10 18 22:30:58 <Guest29440>	mattoliverau: You have any idea about container synchronization please let me know
Th10 18 22:32:00 <mattoliverau>	Guest29440: in what regards? syslog seperating, container sync, container replication, something else?
Th10 18 22:32:48 <Guest29440>	mattoliverau: container sync
Th10 18 22:35:03 <mattoliverau>	Guest29440: ahh ok, what are you trying to do? sync between 2 clusters? 
Th10 18 22:35:53 <Guest29440>	as of now i want to sync between two clusters
Th10 18 22:36:26 <Guest29440>	mattoliverau: and is it possible to sync in same cluster?
Th10 18 22:38:30 <mattoliverau>	Guest29440: yeah, again you can look at how the SAIO has set it up. Because it has container sync setup to sync with itself as we need that to test container sync code.
Th10 18 22:39:25 <Guest29440>	mattoliverau: you have any reference links regarding this 
Th10 18 22:39:40 <mattoliverau>	Guest29440: I don't know how much longer I'll be around as it's getting to the end of my day and could get pulled away any minute :)
Th10 18 22:39:44 <mattoliverau>	Guest29440: sure :)
Th10 18 22:39:58 <mattoliverau>	let me find some starting points for you :)
Th10 18 22:40:21 <Guest29440>	mattoliverau: thank you for giving your time
Th10 18 22:40:49 <mattoliverau>	Guest29440: so start my reading the container sync overview here: http://docs.openstack.org/developer/swift/overview_container_sync.html
Th10 18 22:41:30 <mattoliverau>	Guest29440: the high level idea is, you need to have a realm config for all clusters that trust each other.. in your case it can just contain one cluster
Th10 18 22:42:06 <mattoliverau>	the realm key is a unique secret that the clusters will use to authenticate each other
Th10 18 22:44:06 <mattoliverau>	once this trust is set up, you then mark containers to sync with anther cluster (as it appears in the real file) and to what account/container it syncs with. Again doing that invoves having container level secret keys for extra security.
Th10 18 22:44:17 <mattoliverau>	in your cases, you'd point to the same cluster
Th10 18 22:44:42 <Guest29440>	the realm key we need to set like a header while creation of container?
Th10 18 22:45:16 <mattoliverau>	The saio realm file is here: https://github.com/openstack/swift/blob/master/doc/saio/swift/container-sync-realms.conf
Th10 18 22:45:34 <mattoliverau>	the realm key for the clusters are in the conf. the container keys are as a header yes
Th10 18 22:45:45 <mattoliverau>	sorry need to step away for a bit
Th10 18 22:53:51 <mattoliverau>	Guest29440: when you add the key to a container, it's just setting metadata, so you can do that or change that anytime. So no it doesn't have to be at creation
Th10 18 22:55:01 <Guest29440>	mattoliverau: yeah i am doing right now if any i got any doubts let you know
Th10 18 22:57:28 <mattoliverau>	Guest29440: great, good luck, I'm always in channel, even when I'm not here. so ping if you have any other questions
Th10 18 23:01:44 <Guest29440>	mattoliverau: here is my container-sync-realms.conf file http://paste.openstack.org/show/586114/
Th10 18 23:02:19 <Guest29440>	while creating container i am getting this error "swift post -t '//realm1/192.168.2.187/AUTH_51a527847ebf4004a1e0f4b133fbdcca/container2' -k 'suresh' container1"
Th10 18 23:02:32 <Guest29440>	error is "Container POST failed: http://192.168.2.187:8080/v1/AUTH_51a527847ebf4004a1e0f4b133fbdcca/container1 400 Bad Request   No cluster endpoint for 'realm1' '192.168.2.187'"
Th10 18 23:02:36 <mattoliverau>	Guest29440: because you are only using the 1 cluster, you only need 1 cluster defined
Th10 18 23:04:18 <Guest29440>	mattoliverau: then what i need to mention in this file
Th10 18 23:05:53 *	tesseract is now known as Guest85855
Th10 18 23:07:01 <mattoliverau>	Guest29440: in your case it shouhld be //realm1/clustername1/AUTH_51a527847ebf4004a1e0f4b133fbdcca/container2
Th10 18 23:07:31 <Guest29440>	yeah i got it
Th10 18 23:07:40 <mattoliverau>	Guest29440: //<realm name from config>/<cluster name (after cluster_) from realm config>/<account>/<container>
Th10 18 23:07:45 <Guest29440>	just now i created container
Th10 18 23:07:45 <mattoliverau>	Guest29440: nice :)
Th10 18 23:10:52 <Guest29440>	mattoliverau: i created two containers named "container1" & "container2" and uploaded object to "container1" but while doing "swift list container2"
Th10 18 23:11:02 <Guest29440>	it is not showing that object
Th10 18 23:11:22 <mattoliverau>	is your continer-sync daemon running?
Th10 18 23:12:07 <mattoliverau>	and container-sync also runs on a interval (runs every now and then, which can set). 
Th10 18 23:12:27 <Guest29440>	mattoliverau: yeah it is running
Th10 18 23:12:55 <mattoliverau>	then maybe it hasn't run since you've added the objects
Th10 18 23:13:52 <Guest29440>	mattoliverau: just now i restarted the service
Th10 18 23:15:44 <mattoliverau>	oh and you need to make sure you have container sync in your pipeline on the proxy and that if you've changed the realm file you may need to make sure the changes have taken effect. I've mainly only run container sync for development and testing patches. So I'm not too experienced with what exactly needs to be restarted or what not
Th10 18 23:16:38 <mattoliverau>	well I have to go to dinner.. so I'm out for now. Night swift land
Th10 18 23:18:25 *	amoralej|off is now known as amoralej
Th10 18 23:19:10 <Guest29440>	mattoliverau: ok thankyou for your patience and help...!!!
Th10 18 23:21:32 *	ChanServ gives voice to clayg
Th10 18 23:27:57 <clayg>	i just noticed that an invalid or missing X-Object-Sysmeta-Ec-Frag-Index on PUT to object server raises an unhandled DiskFileError - object server returns it as a 500 with a traceback in the body :\
Th10 18 23:29:42 <clayg>	... seems like 400 would be better, i.e. same as we handle missing x-timestamp
Th10 18 23:29:56 <clayg>	but i'm not sure if it's worth a wishlist bug - might not hurt?
Th10 18 23:38:31 <deep_>	Hi, I am trying to setup swift proxy under httpd on rhel. I am facing issue with s3,  s3 bucket create is returning with error related Signature mismatch. Bucket is getting created but s3curl is getting error. Any clue what can be the issue ?? 
Th10 19 00:11:13 <Guest29440>	Hi all, i am doing container synchronization but it is not syncing the objects to other container
Th10 19 00:11:24 <Guest29440>	please some one help..!!
Th10 19 00:13:24 <clayg>	deep_: what's the error that s3curl reports?  does the swift log 201 w/o error?
Th10 19 00:14:13 <clayg>	Guest29440: is the container-sync daemon running?  Does it leave an errors in the logs?
Th10 19 00:15:04 <Guest29440>	clayg: yes it is running 
Th10 19 00:15:52 <Guest29440>	In logs it is showing container-sync: Configuration option internal_client_conf_path not defined. Using default configuration, See internal-client.conf-sample for options
Th10 19 00:33:29 <openstackgerrit>	Ondřej Nový proposed openstack/swift: Set owner of drive-audit recon cache to swift user  https://review.openstack.org/387591
Th10 19 00:33:58 *	ChanServ gives voice to joeljwright
Th10 19 00:36:32 <kota_>	oh my...
Th10 19 00:37:24 <kota_>	looking at patch 387655, i'm realizing pyeclib is now wrong handling for the assertions on the fragment metadata.
Th10 19 00:37:24 <patchbot>	https://review.openstack.org/#/c/387655/ - swift - WIP: Make ECDiskFileReader check fragment metadata
Th10 19 00:38:21 <kota_>	if we had a corrupted header in the fragment, we should return -EBADHEADER but currently it causes -EINALIDPARAMETER that means something wrong on caller side.
Th10 19 00:38:44 <kota_>	that's one of the guilties of current one.
Th10 19 00:39:21 <onovy>	hi guys. we are in progress of upgrade swift 2.5.0 -> 2.7.0 in production. We upgraded first store and just after that upgrade, obj/replication/rsync metrics from recon jumped up (https://s9.postimg.org/l45qoh0q7/graph.png). In object-replicator log i see many rsync of .ts files.
Th10 19 00:39:23 <onovy>	any idea?
Th10 19 00:39:49 <kota_>	the one more guilty is that *current liberasurecode doesn't test anything for invalid_args test cases i found while I was writing the test.
Th10 19 00:40:03 <clayg>	i would guess it's the new old suffix tombstone invalidation
Th10 19 00:40:17 <clayg>	onovy: ^
Th10 19 00:40:30 <onovy>	clayg: so we should continue with upgrade and it will be fixed after last store?
Th10 19 00:40:47 <kota_>	liberasurecode had the test cases but currently off because some stuff while we ware refactoring the tests.
Th10 19 00:41:00 <kota_>	agh.
Th10 19 00:41:07 <kota_>	clayg:!?!?
Th10 19 00:41:08 <clayg>	kota_: i'm not sure if you're saying libec has yet another bug you'll probably end up fixing while we try to figure out how as a community we're going to adapt to ownership of that library
Th10 19 00:41:38 <clayg>	or like everything with patch 387655 is bollocks because new libec isn't going to pop on invalid frags?
Th10 19 00:41:39 <patchbot>	https://review.openstack.org/#/c/387655/ - swift - WIP: Make ECDiskFileReader check fragment metadata
Th10 19 00:41:40 <kota_>	clayg: have you been in barcelona?
Th10 19 00:41:59 <clayg>	kota_: no that's like next week
Th10 19 00:42:11 <clayg>	i do still need to work on cschwede and I's slides some more before then tho
Th10 19 00:42:16 <kota_>	clayg: that means you're a night man.
Th10 19 00:42:28 <kota_>	(mid-night man)
Th10 19 00:43:29 <clayg>	onovy: i'm... hesitant to make that recommendation - i don't really know the situation - but I think I can find you the patch and we can think about it?
Th10 19 00:43:50 <kota_>	clayg: that's able to pop the invalid frag but i don't like to catch the error as ECDriverError as acoles is doing now, https://review.openstack.org/#/c/387655/1/swift/obj/diskfile.py@53
Th10 19 00:43:50 <patchbot>	patch 387655 - swift - WIP: Make ECDiskFileReader check fragment metadata
Th10 19 00:44:07 <clayg>	onovy: so I *did* say that it will be fine -> https://review.openstack.org/#/c/346865/
Th10 19 00:44:07 <patchbot>	patch 346865 - swift - Delete old tombstones (MERGED)
Th10 19 00:44:26 <kota_>	because the ECDriver error is an abstruction of all ECError including something like no available backend.
Th10 19 00:44:54 <kota_>	I don't like to the auditor is doing quarantine if the backend is not avialable.
Th10 19 00:45:33 <kota_>	so we need to catch more strict error like ECInvalidFragmentMetadata, imo.
Th10 19 00:46:05 <onovy>	clayg: this patch is in 2.10.0 only
Th10 19 00:46:40 <clayg>	onovy: oh, well then my first guess was not correct!  See - good thing you didn't listen to me.
Th10 19 00:46:44 <clayg>	what's happening again now?
Th10 19 00:47:10 <onovy>	clayg: upgraded one store to 2.7.0 from 2.5.0. recon metric jumped up to high number
Th10 19 00:47:54 <clayg>	kota_: ok, i like that - is a more appropriate error available?  i think backend not available would fire earlier when trying to create the policies
Th10 19 00:48:15 <clayg>	one "store" ~= one "node" or zone or cluster?
Th10 19 00:48:25 <onovy>	https://s12.postimg.org/nchht94n1/graph2.png this show min/avg/med/max from whole cluster
Th10 19 00:48:38 <onovy>	https://s9.postimg.org/l45qoh0q7/graph.png this is sum
Th10 19 00:48:43 <kota_>	clayg: sure that. anyway, i have to make sure which error can be raised there though.
Th10 19 00:49:04 <kota_>	clayg: i think ECInalidFragmentMetadata is suite to catch.
Th10 19 00:49:08 <kota_>	sweet
Th10 19 00:49:23 <clayg>	onovy: and what metric is this again?
Th10 19 00:49:40 <kota_>	but currently pyeclib doesn't return that when the metadata currupted :/
Th10 19 00:49:58 <kota_>	with a bug in liberasurecode
Th10 19 00:50:16 <kota_>	and I tried to fix it, it's really trivial and easy.
Th10 19 00:50:31 <kota_>	and make a test for that but nothing failed w/o patch
Th10 19 00:50:46 <clayg>	onovy: maybe suffix.syncs?
Th10 19 00:51:04 <onovy>	clayg: replication/object/replication_stats/rsync from recon middleware
Th10 19 00:51:04 <kota_>	making sure what happen in the liberasurecode, actually liberasurecode doesn't test any failure case i noticed.
Th10 19 00:51:17 <onovy>	clayg: what is suffix.syncs?
Th10 19 00:51:40 <clayg>	statsd metrics - you're turning recon dumps into timeseries data?
Th10 19 00:52:22 <onovy>	no, not stats. i'm loading recon data over http to one server and aggregating them into rrd
Th10 19 00:52:30 <kota_>	so hopefully, 1. fix test cases in liberasurecode, 2. fix liberasurecode bug, 3. catch good error in Swift but it requires any other works like dependency managements.
Th10 19 00:52:32 <kota_>	:/
Th10 19 00:52:34 <onovy>	Oct 17 18:56:02 sdn-swift-store1 swift-object-replicator: <f+++++++++ 3da/db6db09b842616d169dec89348c753da/1476722950.35238.ts
Th10 19 00:52:36 <onovy>	Oct 17 18:56:02 sdn-swift-store1 swift-object-replicator: Successful rsync of /data/hd1-1T/objects/449389/3da at sdn-swift-store13-repl.###::object/hd11-1.2T/objects/449389 (0.186)
Th10 19 00:52:39 <onovy>	this is in log
Th10 19 00:53:45 <clayg>	onovy: that's a pretty recent tombstone?
Th10 19 00:53:57 <clayg>	are they *all* from yesterday?
Th10 19 00:54:40 <onovy>	checking logs
Th10 19 00:56:34 <onovy>	http://paste.openstack.org/show/586135/ , upgraded at ~11am
Th10 19 00:56:44 <onovy>	but i'm trying to check your question with cut/sed/... gimme sec :)
Th10 19 00:59:20 <onovy>	yep, (almost) all of them after 11am is from yesterday
Th10 19 00:59:26 <openstackgerrit>	Clay Gerrard proposed openstack/swift: WIP: Make ECDiskFileReader check fragment metadata  https://review.openstack.org/387655
Th10 19 01:00:46 <onovy>	clayg: this is pretty strange: http://paste.openstack.org/show/586136/
Th10 19 01:00:54 <onovy>	first row: count, second: hour of day
Th10 19 01:01:40 <onovy>	same from NOT-upgraded node: http://paste.openstack.org/show/586137/
Th10 19 01:01:43 <Guest29440>	kota: hi, Do you have any idea about container synchronization
Th10 19 01:02:33 <kota_>	Guest29440: can i make sure your meaning 'container synchronization'?
Th10 19 01:02:46 <onovy>	so if i understand it correctly, this rsync of .ts was always there (which could be fine), but count of rsync jumped up after one node upgrade
Th10 19 01:02:50 <kota_>	across over the different swift clusters?
Th10 19 01:02:58 <onovy>	afk lunch
Th10 19 01:03:07 <Guest29440>	kota: yes and i am trying in same cluster
Th10 19 01:04:16 <kota_>	2 same cluster?
Th10 19 01:04:57 <kota_>	Guest29440: container sync is an option to sync over the 2 clusters, http://docs.openstack.org/developer/swift/overview_container_sync.html
Th10 19 01:05:41 <kota_>	an user can make a sync target container  to a container.
Th10 19 01:07:08 <Guest29440>	kota: i followed the same link but i am not seeing objects which are uploaded to one in another container
Th10 19 01:08:39 <kota_>	Guest29440: ok,  could you have the perrmission to figure out what happens in the cluster?
Th10 19 01:16:57 <Guest29440>	kota: can you elaborate what i need to do in cluster
Th10 19 01:17:35 <clayg>	Guest29440: sorry, was looking at other stuff - the interal-client.conf log message is not a problem
Th10 19 01:18:07 <clayg>	Guest29440: can you share your relams.conf and the metadata you set on the container - maybe it's something obvious?
Th10 19 01:19:07 <clayg>	Guest29440: otherwise maybe container sync is failing to identify and process the container - or it's trying to process it and failing to sync data somehow
Th10 19 01:19:18 <clayg>	if it's the latter I would think there's be some noise in the logs about it
Th10 19 01:20:13 <openstackgerrit>	Kota Tsuyuzaki proposed openstack/liberasurecode: Fix liberasurecode skipping a bunch of invalid_args tests  https://review.openstack.org/387879
Th10 19 01:20:57 <kota_>	ah, looks like clayg knows something rather than me.
Th10 19 01:21:30 <kota_>	it looks tsg is absent in this channel.
Th10 19 01:21:45 *	kota_ is going to ping him tommorow morning
Th10 19 01:22:31 <clayg>	kota_: for backport I don't think we can expect liberasure to be repackaged
Th10 19 01:23:14 <clayg>	... can we?
Th10 19 01:23:35 <kota_>	clayg: good point, so we need to fix the auditing with as...
Th10 19 01:24:56 <clayg>	kota_: for Guest29440 on container-sync I don't know nothing - and i'm going to sign off shortly
Th10 19 01:25:53 <clayg>	kota_: for the ec auditor invalid frag data - I pushed up what I have so far - there's still some tests that need to be fixed - and I don't think I have the quarantine behavior on the object-server quite right yet (need some tests for invalid frag data in obj.test_server)
Th10 19 01:26:09 <clayg>	I think the TODO's in the commit are correct (cc @ acoles)
Th10 19 01:26:30 <onovy>	clayg: back
Th10 19 01:26:41 *	acoles_ is now known as acoles
Th10 19 01:26:54 <kota_>	clayg: i'm wondering, who sets disk chunk read size for the reader in the auditor.
Th10 19 01:27:09 <kota_>	that could come from policy.fragment_size?
Th10 19 01:27:11 <acoles>	good morning
Th10 19 01:27:21 <kota_>	acoles: good morning
Th10 19 01:27:44 <joeljwright>	acoles: good morning
Th10 19 01:28:04 <clayg>	kota_: it's tunable - and I think documented that the auditor will pass it's value into the dfm - so you can adjust your auditor io different than object server
Th10 19 01:28:40 <clayg>	on server too big iop can gum up the reactor - on auditor it's nice to have bigger fat iops
Th10 19 01:28:40 <kota_>	i think, we need *at least* pyeclib 1.3.0 if we are using the auditor backport in the stable/mitaka anyway because the policy.fragment_size probably causes memory leak.
Th10 19 01:29:07 <clayg>	great - so we don't have to do backports!?
Th10 19 01:29:28 <kota_>	and if we don't make the chunk size as same as policy.fragment_size, the get_metadata call doesn't fit the alignment of fragments.
Th10 19 01:29:42 <clayg>	onovy: did the rsync spike level off shortly after the upgrade?  or is it still going?
Th10 19 01:29:53 <Guest29440>	kota: here isa my container-sync-realms.conf 
Th10 19 01:29:57 <acoles>	kota_: clayg where are we at? I saw clayg pushed a new patchset, do I need to pick up anything?
Th10 19 01:29:58 <Guest29440>	http://paste.openstack.org/show/586145/
Th10 19 01:30:03 <kota_>	not sure, when I added a mitagation for that, i think it happened in mitaka-newton.
Th10 19 01:30:48 <clayg>	acoles: i didn't get started until after dinner - i just cleaned up some tests
Th10 19 01:31:08 <clayg>	acoles: I took a stab at the early quarantine - but I think it only really works in the adutior currently
Th10 19 01:31:33 <clayg>	so maybe starting on a obj_server test to read frag_archive with invalid data in it is next thing todo
Th10 19 01:31:40 <kota_>	hmm, i have to study about container-sync-ralms.conf, that's my sabotage :/
Th10 19 01:31:48 <clayg>	it's either that or work on fixing the app_iter Range tests in diskfile (blargh)
Th10 19 01:32:08 <acoles>	clayg: ack
Th10 19 01:33:09 <kota_>	acoles: i didn't yet complete the review on the auditor but I had made sure some my concern in pyeclib/liberasurecode
Th10 19 01:33:15 <acoles>	clayg: so i am on board with you and Sam re doing early quarantine (on first bad frag), I wasn't sure if we got some of that for free if the reader close method was called even when the reader wasn't fully read.
Th10 19 01:33:21 <kota_>	and found another problems a lot :.(
